"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Radio-Bug","Leeds","","53.8","-1.5","Radio Paris.","Paris","France","48.9","2.4","Radio-Bug (Leeds): Radio Paris."
"Grid Bias","Liverpool","UK","53.4","-3.0","Stettin relaying Berlin.","Berlin","Germany","52.5","13.4","Grid Bias (Liverpool): Stettin relaying Berlin."
"Pat","Leicester","UK","52.6","-1.1","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Pat (Leicester): Madrid (EAJ7)."
"E.H.F. Transatlantic","","","","Madrid.","Madrid","Spain","40.4","-3.7","E.H.F. Transatlantic: Madrid."
"Union Radio","Madrid","Spain","40.4","-3.7","Cannot trace.","","","","","Union Radio (Madrid): Cannot trace."
"G.J.P.","","","","Cannot trace.","","","","","G.J.P.: Cannot trace."
"Guist","","","","W.L. wrong, cannot trace.","","","","","Guist: W.L. wrong, cannot trace."
"A.V.","Harrogate","UK","54.0","-1.5","Koenigswusterhausen (Press).","Koenigswusterhausen","Germany","52.3","13.6","A.V. (Harrogate): Koenigswusterhausen (Press)."
"D.H.S.N.","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","D.H.S.N.: Madrid (EAJ7)."
"Opium","","","","Cannot trace, unless Salamanca (EAJ22), but no programmes available.","Salamanca","Spain","40.9","-5.7","Opium: Cannot trace, unless Salamanca (EAJ22), but no programmes available."
"E.H.F. Transatlantic V.","","","","Was this not Union Radio (Madrid)?","Madrid","Spain","40.4","-3.7","E.H.F. Transatlantic V.: Was this not Union Radio (Madrid)?"
"E.R.E.","","","","6PY unknown, 2YX British amateur (Birmingham).","Birmingham","UK","52.5","-1.9","E.R.E.: 6PY unknown, 2YX British amateur (Birmingham)."
"Rev.","","","","More probably Oslo.","Oslo","Norway","59.9","10.8","Rev.: More probably Oslo."
"H.L.","Scarborough","UK","54.3","-0.4","Moscow RDW.","Moscow","Russia","55.8","37.6","H.L. (Scarborough): Moscow RDW."
"Binge","Herne Bay","UK","51.4","1.1","(a) Yes, Rome (Masked Ball);","Rome","Italy","41.9","12.5","Binge (Herne Bay): (a) Yes, Rome (Masked Ball); Big Log Moscow (RDW)."
"Binge","Herne Bay","UK","51.4","1.1","Big Log Moscow (RDW).","Moscow","Russia","55.8","37.6","Binge (Herne Bay): (a) Yes, Rome (Masked Ball); Big Log Moscow (RDW)."
"A.B.C.","","","","Too vague.","","","","","A.B.C.: Too vague."
"Serenada","Manchester","UK","53.5","-2.2","Madrid (EAJ7) dance music from Ice Palace.","Madrid","Spain","40.4","-3.7","Serenada (Manchester): Madrid (EAJ7) dance music from Ice Palace."
"Erjee E.F.","","","","Lowest relay of Hamburg is Kiel (230 m.), presumably harmonic or German amateur relay.","Kiel","Germany","54.3","10.1","Erjee E.F.: Lowest relay of Hamburg is Kiel (230 m.), presumably harmonic or German amateur relay."
"Rugby Union","","","","Cannot trace on that W.L. but on 1300 m. Berlin at that time.","Berlin","Germany","52.5","13.4","Rugby Union: Cannot trace on that W.L. but on 1300 m. Berlin at that time."
"V.Z.","Guildford","UK","51.2","-0.6","Yes, rather vague, presumably Milan (special transmission).","Milan","Italy","45.5","9.2","V.Z. (Guildford): Yes, rather vague, presumably Milan (special transmission)."
"W.F.S.","Birmingham","UK","52.5","-1.9","Details too vague, might be DKKA (East Pittsburg).","Pittsburgh","USA","40.4","-79.9","W.F.S. (Birmingham): Details too vague, might be DKKA (East Pittsburg)."
"Over-Head Valve","Salop","UK","","","If Schubert, probably Muenster.","Muenster","Germany","51.9","7.6","Over-Head Valve (Salop): If Schubert, probably Muenster."
"Hyntlite","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Hyntlite: Moscow (RDW)."
"57.QS","","","","(1) Yes, Berlin;","Berlin","Germany","52.5","13.4","57.QS: (1) Yes, Berlin; (2) Berlin (lecture on music); (3) Moscow (RDW); (4) relay of Stockholm (Othello); (5) 6NI, British amateur (Bootle)."
"57.QS","","","","(2) Berlin (lecture on music);","Berlin","Germany","52.5","13.4","57.QS: (1) Yes, Berlin; (2) Berlin (lecture on music); (3) Moscow (RDW); (4) relay of Stockholm (Othello); (5) 6NI, British amateur (Bootle)."
"57.QS","","","","(3) Moscow (RDW);","Moscow","Russia","55.8","37.6","57.QS: (1) Yes, Berlin; (2) Berlin (lecture on music); (3) Moscow (RDW); (4) relay of Stockholm (Othello); (5) 6NI, British amateur (Bootle)."
"57.QS","","","","(4) relay of Stockholm (Othello);","Stockholm","Sweden","59.3","18.1","57.QS: (1) Yes, Berlin; (2) Berlin (lecture on music); (3) Moscow (RDW); (4) relay of Stockholm (Othello); (5) 6NI, British amateur (Bootle)."
"57.QS","","","","(5) 6NI, British amateur (Bootle).","Bootle","UK","53.4","-3.0","57.QS: (1) Yes, Berlin; (2) Berlin (lecture on music); (3) Moscow (RDW); (4) relay of Stockholm (Othello); (5) 6NI, British amateur (Bootle)."
"Habhesha","","","","(12.22) presumably San Sebastian;","San Sebastian","Spain","43.3","-1.9","Habhesha: (12.22) presumably San Sebastian; (12.15) Madrid (EAJ4)."
"Habhesha","","","","(12.15) Madrid (EAJ4).","Madrid","Spain","40.4","-3.7","Habhesha: (12.22) presumably San Sebastian; (12.15) Madrid (EAJ4)."
"Borax","Swansea","UK","51.6","-3.9","Cannot trace.","","","","","Borax (Swansea): Cannot trace."
"Radio Micro","","","","(1) Buda-Pesth;","Budapest","Hungary","47.5","19.0","Radio Micro: (1) Buda-Pesth; (2) W.L. too vague; (3) Eiffel Tower (2,740 m.); (4) too vague."
"Radio Micro","","","","(2) W.L. too vague;","","","","","Radio Micro: (1) Buda-Pesth; (2) W.L. too vague; (3) Eiffel Tower (2,740 m.); (4) too vague."
"Radio Micro","","","","(3) Eiffel Tower (2,740 m.);","Paris","France","48.9","2.4","Radio Micro: (1) Buda-Pesth; (2) W.L. too vague; (3) Eiffel Tower (2,740 m.); (4) too vague."
"Radio Micro","","","","(4) too vague.","","","","","Radio Micro: (1) Buda-Pesth; (2) W.L. too vague; (3) Eiffel Tower (2,740 m.); (4) too vague."
"Longodds","","","","Amateur (Eltham, S.E.9).","Eltham","UK","51.4","0.1","Longodds: Amateur (Eltham, S.E.9)."
"Coil Pusher","","","","Can trace no transmission on that W.L.","","","","","Coil Pusher: Can trace no transmission on that W.L."
"H.R.C.","Wallasey","UK","53.4","-3.1","Foreign amateur.","","","","","H.R.C. (Wallasey): Foreign amateur."
"Valve Blower","","","","(1) W.L. too vague;","","","","","Valve Blower: (1) W.L. too vague; (2) surely Daventry; (3) Geneva."
"Valve Blower","","","","(2) surely Daventry;","Daventry","UK","52.3","-1.2","Valve Blower: (1) W.L. too vague; (2) surely Daventry; (3) Geneva."
"Valve Blower","","","","(3) Geneva.","Geneva","Switzerland","46.2","6.1","Valve Blower: (1) W.L. too vague; (2) surely Daventry; (3) Geneva."
"C.H.D.","Margate","UK","51.4","1.4","Probably B.B.C. station testing.","","","","","C.H.D. (Margate): Probably B.B.C. station testing."
"Rumpelstiltskin","","","","Karlsborg relay of Stockholm.","Stockholm","Sweden","59.3","18.1","Rumpelstiltskin: Karlsborg relay of Stockholm."
"Japhus","","","","(26, 28, 29) both vary as a rule; (26/1) cannot trace.","","","","","Japhus: (26, 28, 29) both vary as a rule; (26/1) cannot trace."
"Japhus","","","","(31/1) Moscow (RDW).","Moscow","Russia","55.8","37.6","Japhus: (31/1) Moscow (RDW)."
"2 HF, T.A.T.","","","","Too vague, cannot trace.","","","","","2 HF, T.A.T.: Too vague, cannot trace."
"Dublin","","","","Cannot trace.","","","","","Dublin: Cannot trace."
"Tabby","Lancs.","UK","","","Incomplete call, British amateur.","","","","","Tabby (Lancs.): Incomplete call, British amateur."
"Awbwood","","","","Too vague.","","","","","Awbwood: Too vague."
"Annibale Again","Swadlincote","UK","52.8","-1.5","Cannot trace.","","","","","Annibale Again (Swadlincote): Cannot trace."
"The Lenophone Three","Earlsfield","UK","51.4","-0.2","Berlin.","Berlin","Germany","52.5","13.4","The Lenophone Three (Earlsfield): Berlin."
"Valorac","Cambridge","UK","52.2","0.1","Stockholm.","Stockholm","Sweden","59.3","18.1","Valorac (Cambridge): Stockholm."
"2-Valver","Banbury","UK","52.1","-1.3","amateur experimenter.","","","","","2-Valver (Banbury): amateur experimenter."
"Legume","Bristol","UK","51.5","-2.6","not in programmes; perhaps Ryvang.","Ryvang","Denmark","55.7","12.6","Legume (Bristol): not in programmes; perhaps Ryvang."
"Yorks","","","","Gothenburg (288 m.) Sir Sefton Brancker’s talk on My Flight to India.","Gothenburg","Sweden","57.7","11.9","Yorks: Gothenburg (288 m.) Sir Sefton Brancker’s talk on My Flight to India."
"Settle","Finsbury Park","UK","51.6","-0.1","WJ., too vague.","","","","","Settle (Finsbury Park): WJ., too vague."
"Wireless Willy","","","","Hilversum relay of organ recital, St. Dominic’s Church (Amsterdam).","Amsterdam","Netherlands","52.4","4.9","Wireless Willy: Hilversum relay of organ recital, St. Dominic’s Church (Amsterdam)."
"Milestone","","","","until 5 p.m. Frankfort-on-Main.","Frankfurt","Germany","50.1","8.7","Milestone: until 5 p.m. Frankfort-on-Main."
"Four Valve","Bristol","UK","51.5","-2.6","Oslo.","Oslo","Norway","59.9","10.8","Four Valve (Bristol): Oslo."
"S.O.S.","Kent","UK","51.2","0.7","cannot trace items.","","","","","S.O.S. (Kent): cannot trace items."
"Amplidyne","Purley","UK","51.3","-0.1","Hamburg.","Hamburg","Germany","53.5","10.0","Amplidyne (Purley): Hamburg."
"Iron Man","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Iron Man: Madrid (EAJ7)."
"Rex P.","Plumstead","UK","51.5","0.1","cannot say, might be WGY (379.5 m).","Schenectady","USA","42.8","-73.9","Rex P. (Plumstead): cannot say, might be WGY (379.5 m)."
"W.H.P.","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","W.H.P.: San Sebastian."
"Inquisitive One","Barnsley","UK","53.6","-1.5","amateur, cannot trace.","","","","","Inquisitive One (Barnsley): amateur, cannot trace."
"A.J. Shorthouse","","","","yes, times would tally with KGO and KDKA.","Oakland","USA","37.8","-122.3","A.J. Shorthouse: yes, times would tally with KGO and KDKA."
"5 Valves","Leicester","UK","52.6","-1.1","Impossible to tell without being given some idea of w.l.","","","","","5 Valves (Leicester): Impossible to tell without being given some idea of w.l."
"Bell","Peckham","UK","51.5","-0.1","Would tally with WGY (Schenectady).","Schenectady","USA","42.8","-73.9","Bell (Peckham): Would tally with WGY (Schenectady)."
"Ergo","","","","a.m. or p.m.?","","","","","Ergo: a.m. or p.m.?"
"Chandos","Stockport","UK","53.4","-2.2","Possibly KGO (Oakland).","Oakland","USA","37.8","-122.3","Chandos (Stockport): Possibly KGO (Oakland)."
"Transformer","","","","(325 m.) Milan;","Milan","Italy","45.5","9.2","Transformer: (325 m.) Milan; (1,200 m.) Moscow, RDW."
"Transformer","","","","(1,200 m.) Moscow, RDW.","Moscow","Russia","55.8","37.6","Transformer: (325 m.) Milan; (1,200 m.) Moscow, RDW."
"E.M.P.","","","","Bordeaux relaying PTT, Paris.","Bordeaux","France","44.8","-0.6","E.M.P.: Bordeaux relaying PTT, Paris."
"Bellerive","Shanklin","UK","50.6","-1.2","Yes, Hamburg.","Hamburg","Germany","53.5","10.0","Bellerive (Shanklin): Yes, Hamburg."
"Curio","","","","W.I. too vague.","","","","","Curio: W.I. too vague."
"2LV.","","","","Cannot trace, probably U.S.A.;","USA","","","","2LV.: Cannot trace, probably U.S.A.; (410 m.) Bilbao."
"2LV.","","","","(410 m.) Bilbao.","Bilbao","Spain","43.3","-2.9","2LV.: Cannot trace, probably U.S.A.; (410 m.) Bilbao."
"Toothache","Kendal","UK","54.3","-2.7","WJY or WOR, New York.","New York","USA","40.7","-74.0","Toothache (Kendal): WJY or WOR, New York."
"Melbreak","Cockermouth","UK","54.7","-3.4","(1) Hamburg;","Hamburg","Germany","53.5","10.0","Melbreak (Cockermouth): (1) Hamburg; (2) probably Prague."
"Melbreak","Cockermouth","UK","54.7","-3.4","(2) probably Prague.","Prague","Czech Republic","50.1","14.4","Melbreak (Cockermouth): (1) Hamburg; (2) probably Prague."
"H.E.S.","Gainsboro’","UK","53.4","-0.8","(1) Madrid (EAJ4);","Madrid","Spain","40.4","-3.7","H.E.S. (Gainsboro’): (1) Madrid (EAJ4); (2) Koenigswusterhausen (Press)."
"H.E.S.","Gainsboro’","UK","53.4","-0.8","(2) Koenigswusterhausen (Press).","Koenigswusterhausen","Germany","52.3","13.6","H.E.S. (Gainsboro’): (1) Madrid (EAJ4); (2) Koenigswusterhausen (Press)."
"F.E. Sup-Het","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","F.E. Sup-Het: Madrid (EAJ7)."
"H.T.F.","Ballaghadeireen","Ireland","53.8","-8.6","Please.","","","","","H.T.F. (Ballaghadeireen): Please."
"L.W.","Doncaster","UK","53.5","-1.1","If Rome, clock would strike ten times at 9 p.m.","Rome","Italy","41.9","12.5","L.W. (Doncaster): If Rome, clock would strike ten times at 9 p.m."
"G.W.R.","Cleethorpes","UK","53.6","-0.0","Moscow (RDW).","Moscow","Russia","55.8","37.6","G.W.R. (Cleethorpes): Moscow (RDW)."
"3 Valver","","","","Probably Prague.","Prague","Czech Republic","50.1","14.4","3 Valver: Probably Prague."
"Tiger Tim","","","","Rome.","Rome","Italy","41.9","12.5","Tiger Tim Rome."
"Lean West","","","","","","","","","Lean West, R. O. S. G., W. J. F., B. T. H. (Norwich), Tubby, L. Ether, W. T. Forknall, Twin Valverite, Robbie M. W., San, Vie Pip, Swinden, Kacila, Family Four (Doncaster), Amazing Strength, S. B. (Ormskirk), Y. M. Z. (Plymouth), Elwell (Beaconsfield), Cynroes, E. H. F. Transatlantic 5, Boy Blue (Burnley), Early Bird (Reading), Pat (Birmingham), Sans Fil (Gillingham), B. M. B. A. Y. Z., Binge (Herne Bay), P. & D. (Blaydon-on-Tyne), A. C. (Barrow-in-Furness), Please Don’t, Curious (Wootton), Jay Jay (Sunderland), 5BT (Leeds), Perthite, E. J. S. (Cambridge), Four B’s (Sittingbourne), Omnie (Pendleton), Chatham (Leicester), Doncaster, W. S. (Maida Hill), Clerk (Nottingham), Enigma, Snip, T. S. F. (Newton Abbot), P. Z. Night-Hawk, Twin Valve (Cardiff), Tapper (Nelson), Dual (S. W. 9), P. L., Carrbrook, E. A. C., Bioxane, H. T. L., Curious (Berkhampsted), Glosso, F. D. Y. (King’s Heath), L. E. C. Crook, 100 Aerial, J. K. B. (Mountain Ash), Denton, Chorltonville, Canio (Leigh), Tim, J. B., R. E. B., S. C. T. 5, A. A. C., Curious (Chesterfield)."
"Special German Broadcast","","","","A few words of explanation regarding the ceremony heard by a large number of listeners, whose noms-de-plume are published in the ""Answers to Queries,"" may be of general interest to our readers. The special broadcast picked up by them was that of the public demonstration held on the Square facing the Cologne Cathedral, in celebration of the official evacuation of that city after seven years' occupation by British troops. The proceedings were opened at midnight (Central European time), or 11 p.m. (G.M.T.), by the pealing of the famous Cathedral Petrus Bell, after which the chief Burgomaster, Dr. Adenauer, delivered a short speech to the assembled crowd. The German National Anthem accompanied by a full band was then sung, followed by further speeches; a message from President Hindenburg was read, and a hymn, Grosser Gott, wir loben Dich, sung by the multitude, brought the ceremony to an end. The apparent war cry heard by one of our readers was merely a German ""Hoch!"" repeated three times, the Teutonic equivalent of the British cheer. This patriotic demonstration was relayed to Muenster, and re-broadcast by most of the German stations, including the high-power transmitter at Koenigswusterhausen.","Cologne","Germany","50.9","6.9","Special German Broadcast (January 31). A few words of explanation regarding the ceremony heard by a large number of listeners, whose noms-de-plume are published in the ""Answers to Queries,"" may be of general interest to our readers. The special broadcast picked up by them was that of the public demonstration held on the Square facing the Cologne Cathedral, in celebration of the official evacuation of that city after seven years' occupation by British troops. The proceedings were opened at midnight (Central European time), or 11 p.m. (G.M.T.), by the pealing of the famous Cathedral Petrus Bell, after which the chief Burgomaster, Dr. Adenauer, delivered a short speech to the assembled crowd. The German National Anthem accompanied by a full band was then sung, followed by further speeches; a message from President Hindenburg was read, and a hymn, Grosser Gott, wir loben Dich, sung by the multitude, brought the ceremony to an end. The apparent war cry heard by one of our readers was merely a German ""Hoch!"" repeated three times, the Teutonic equivalent of the British cheer. This patriotic demonstration was relayed to Muenster, and re-broadcast by most of the German stations, including the high-power transmitter at Koenigswusterhausen."
